Name,Size
svprojects/0155_0001.zip,135293411
svprojects/0069_0001.zip,257452692
svprojects/0077_1001.zip,137211671
svprojects/0173_1001.zip,185085119
svprojects/0087_1001.zip,200635333
svprojects/O8963SC.zip,500758153
svprojects/0085_1001.zip,187843254
svprojects/AKD3058.zip,74792944
svprojects/BMMB_AD_2020.zip,523618506
svprojects/PT3_3Y.zip,441729173
svprojects/PT3_6M.zip,607076535
svprojects/0106_0001.zip,165191837
svprojects/KDR12.zip,443661110
svprojects/RCKD27.zip,91460460
svprojects/0184_0001.zip,450063880
svprojects/SU0262.zip,1330167681
svprojects/0092_0001.zip,220128128
svprojects/O227241_2006_aorta.zip,133721698
svprojects/0002_0001.zip,316456092
svprojects/0108_0001.zip,208204350
svprojects/0145_1001.zip,259175609
svprojects/KDR10.zip,253082616
svprojects/AS1_SU0308_stent.zip,222123623
svprojects/SU0232.zip,77544895
svprojects/0081_0001.zip,156594613
svprojects/O8963SC_aorta.zip,56433073
svprojects/0184_0001_aorta.zip,104582146
svprojects/SU0207.zip,79932224
svprojects/0065_1001.zip,238955646
svprojects/0150_0001.zip,275739292
svprojects/WS2_SU0269_stent.zip,216758961
svprojects/KDR01.zip,287791241
svprojects/KD1.zip,131723
svprojects/0078_0001.zip,96214207
svprojects/O351095_2016_aorta.zip,140830805
svprojects/0072_0001.zip,186378422
svprojects/0172_0001.zip,396418484
svprojects/O145207.zip,968495996
svprojects/0125_0001.zip,89736329
svprojects/O128301_2008.zip,471977406
svprojects/0147_1001.zip,217261535
svprojects/AS2_SU0313_prestent.zip,122696829
svprojects/0110_0001.zip,199661397
svprojects/0086_0001.zip,143417320
svprojects/0151_0001.zip,256935916
svprojects/WS2_SU0269_prestent.zip,279147090
svprojects/0164_0001.zip,203614322
svprojects/0189_0001_aorta.zip,104816832
svprojects/0162_3001.zip,183153942
svprojects/SU0249.zip,338798358
svprojects/AS2_SU0313_stent.zip,216254491
svprojects/SU0247.zip,61235718
svprojects/SU0187.zip,108637452
svprojects/SU0278.zip,293169972
svprojects/PT2_3Y.zip,410421782
svprojects/0063_1001.zip,150358213
svprojects/0091_0001.zip,310974927
svprojects/0189_0001.zip,367638238
svprojects/0090_0001.zip,240268697
svprojects/PT4_6M.zip,584523355
svprojects/SU0240.zip,343181549
svprojects/KDR13.zip,216765663
svprojects/0129_0000.zip,327456384
svprojects/O0171SC.zip,784077303
svprojects/0095_0001.zip,251303522
svprojects/0141_1001.zip,271399262
svprojects/0146_1001.zip,283219672
svprojects/0111_0001.zip,142915164
svprojects/0176_0000.zip,227117710
svprojects/O20719_2006.zip,642718431
svprojects/0101_0001.zip,227529198
svprojects/0165_0001.zip,182057309
svprojects/O150323_2009_aorta.zip,133749039
svprojects/0075_1001.zip,117596062
svprojects/0065_0001.zip,170510446
svprojects/0131_0000.zip,202064833
svprojects/vtps.zip,413060521
svprojects/SU0251.zip,314501944
svprojects/0187_0002_aorta.zip,70536230
svprojects/O11908.zip,756972059
svprojects/O150323_2009.zip,1057373104
svprojects/KDR08.zip,662988825
svprojects/0188_0001_aorta.zip,118063114
svprojects/0174_0000.zip,273240755
svprojects/0082_0001.zip,155367125
svprojects/0005_1001.zip,144157116
svprojects/0139_1001.zip,256555219
svprojects/0075_0001.zip,110335211
svprojects/PT2_6M.zip,650216801
svprojects/190529_P6.zip,426950326
svprojects/WS1_SU0267_stent.zip,188084826
svprojects/O128301_2008_aorta.zip,52689180
svprojects/0144_1001.zip,267521646
svprojects/0076_0001.zip,113169187
svprojects/AKD3097.zip,164478686
svprojects/0071_0001.zip,224790073
svprojects/0097_0001.zip,181541481
svprojects/KD9.zip,35647105
svprojects/AS3_SU0238_stent.zip,263129692
svprojects/AS3_SU0238_prestent.zip,178206191
svprojects/0167_0001.zip,103640976
svprojects/0099_0001.zip,159199649
svprojects/0149_1001.zip,306254882
svprojects/SU0259.zip,425952187
svprojects/0063_0001.zip,89553447
svprojects/RCKD24.zip,202834210
svprojects/0084_0001.zip,144545884
svprojects/KDR48.zip,340115216
svprojects/0186_0002.zip,359325608
svprojects/O20719_2006_aorta.zip,99517834
svprojects/0064_1001.zip,143996873
svprojects/AS1_SU0308_prestent.zip,149346845
svprojects/WS1_SU0267_prestent.zip,171097035
svprojects/SU0261.zip,66574804
svprojects/KDR33_aorta.zip,157052718
svprojects/0183_1002.zip,371625617
svprojects/0188_0001.zip,351377348
svprojects/0148_1001.zip,238265357
svprojects/SU0197.zip,227794440
svprojects/RCKD26.zip,230941025
svprojects/0066_0001.zip,98533717
svprojects/0093_0001.zip,216173171
svprojects/KDR34.zip,267217929
svprojects/O683375_2005.zip,912588569
svprojects/RCKD25.zip,216822982
svprojects/0080_0001.zip,150039737
svprojects/O690801_2007_aorta.zip,2216773
svprojects/0089_1001.zip,251948361
svprojects/0079_0001.zip,149145573
svprojects/SU0201.zip,147451133
svprojects/0142_1001.zip,247620335
svprojects/0156_0001.zip,304637665
svprojects/0077_0001.zip,81457638
svprojects/0094_0001.zip,223330287
svprojects/PT1_6M.zip,421564715
svprojects/SU0206.zip,72416455
svprojects/O690801_2007.zip,652087826
svprojects/convert-mesh.py.zip,1141
svprojects/KDR13_aorta.zip,172791514
svprojects/0083_2002.zip,173230339
svprojects/KDR33.zip,2534178195
svprojects/0160_6001.zip,176661786
svprojects/0185_0001.zip,258473404
svprojects/KDR08_aorta.zip,172402768
svprojects/0126_0001.zip,96402881
svprojects/SU0241.zip,152668596
svprojects/0064_0001.zip,76804207
svprojects/0076_1001.zip,118997647
svprojects/O11908_aorta.zip,75053684
svprojects/0108_0001_aorta.zip,75482890
svprojects/SU0208.zip,133402930
svprojects/0161_0001.zip,264607316
svprojects/0073_0001.zip,253633292
svprojects/KDR48_aorta.zip,167455844
svprojects/0107_0001.zip,129279696
svprojects/0154_0001.zip,120127700
svprojects/0157_0000.zip,229836934
svprojects/0134_0002.zip,108535077
svprojects/SU0273.zip,340954499
svprojects/0105_0001.zip,236138323
svprojects/SU0230.zip,86465473
svprojects/0140_2001.zip,341381835
svprojects/0001_0001.zip,261044955
svprojects/O351095_2016.zip,392429702
svprojects/0130_0000.zip,180265140
svprojects/RCKD28.zip,192123684
svprojects/KDR57.zip,257392895
svprojects/KDR34_aorta.zip,169774028
svprojects/0163_0001.zip,175880640
svprojects/190215_P60.zip,276951988
svprojects/KDR32.zip,273850952
svprojects/KDR57_aorta.zip,156492069
svprojects/0098_0001.zip,175614915
svprojects/O51001_2009.zip,306138793
svprojects/O344211000_2006.zip,858005785
svprojects/PT1_3Y.zip,950964888
svprojects/O0171SC_aorta.zip,113271172
svprojects/0103_0001.zip,238782516
svprojects/O6397SC.zip,911355030
svprojects/KDR32_aorta.zip,179105832
svprojects/0138_1001.zip,274268129
svprojects/PT4_3Y.zip,796072773
svprojects/0102_0001.zip,207342672
svprojects/KDR12_aorta.zip,168741851
svprojects/AS4_SU0287_stent.zip,341503831
svprojects/RCKD23.zip,139211003
svprojects/0006_0001.zip,310713896
svprojects/0070_0001.zip,185813750
svprojects/0003_0001.zip,309834801
svprojects/0158_0001.zip,172632494
